Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsamtsbezirk;Sozialrathausbezirk;Sozialbezirk;Polizeirevier;Postleitzahl
1111;"Heidestraße";"ungerade";"3";"";"45";"";"3 ";"Nordend-Ost";"230";"3.20";" 3";"A1";14;"3";60316
1111;"Heidestraße";"ungerade";"49";"";"101";"";"4 ";"Bornheim";"240";"4.23";" 4";"A1";15;"6";60385
1112;"Heidetränkstraße";"";"";"";"";"";"8 ";"Niederursel";"481";"8.63";" 8";"A2";43;"14";60439
1113;"Heigenbrücker Weg";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"332";"5.29";"5A";"A6";24;"8";60599
1114;"Heilbronner Straße";"";"";"";"";"";"1 ";"Gutleutviertel";"151";"1.04";" 1";"A3";2;"4";60327
1116;"Heiligenstockweg";"";"";"";"";"";"10";"Berkersheim";"500";"10.74";"10";"A2";47;"14";60435
1117;"Heiligkreuzgasse";"";"";"";"";"";"1 ";"Innenstadt";"070";"1.01";" 1";"A1";1;"1";60313
1118;"Heilmannstraße";"";"";"";"";"";"8 ";"Praunheim";"426";"8.62";" 7";"A2";36;"14";60439
1119;"Heimatring";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"322";"5.33";"5A";"A6";21;"8";60596
1120;"Heimchenweg";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
1121;"Heinestraße";"";"";"";"";"";"3 ";"Nordend-West";"201";"3.21";" 3";"B3";11;"3";60322
1122;"Heinrich-Bleicher-Straße";"";"";"";"";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60433
1123;"Heinrich-Hardt-Straße";"gerade";"";"";"";"";"6 ";"Griesheim";"542";"6.40";"6A";"A3";52;"16";65933
1123;"Heinrich-Hardt-Straße";"ungerade";"29";"";"47";"";"6 ";"Griesheim";"542";"6.40";"6A";"A3";52;"16";65933
1123;"Heinrich-Hardt-Straße";"ungerade";"51";"";"53";"";"6 ";"Griesheim";"552";"6.41";"6A";"A3";52;"16";65933
1124;"Heinrich-Hertz-Straße";"";"";"";"";"";"2 ";"Bockenheim";"342";"2.14";" 2";"A4";10;"13";60486
1125;"Heinrich-Hoffmann-Straße";"";"";"";"";"";"5 ";"Niederrad";"371";"5.35";"5B";"A6";28;"10";60528
1126;"Heinrich-Plett-Straße";"";"";"";"";"";"10";"Frankfurter Berg";"492";"10.71";"10";"A2";46;"14";60433
1127;"Heinrich-Rößler-Straße";"";"";"";"";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60433
1128;"Heinrich-Seliger-Straße";"";"";"";"";"";"5 ";"Niederrad";"372";"5.36";"5B";"A6";28;"10";60528
1129;"Heinrich-Stahl-Straße";"";"";"";"";"";"6 ";"Nied";"561";"6.42";"6A";"A7";53;"16";65934
1130;"Heinrichstraße";"";"";"";"";"";"1 ";"Gallus";"161";"1.06";" 1";"A3";7;"4";60327
1131;"Heinrich-Tessenow-Weg";"";"";"";"";"";"7 ";"Praunheim";"422";"7.59";" 7";"A4";34;"14";60488
1132;"Heinzstraße";"";"";"";"";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60431
1133;"Heisterstraße";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"331";"5.31";"5A";"A6";20;"8";60594
1134;"Heldenbergener Straße";"";"";"";"";"";"10";"Bonames";"491";"10.70";"10";"A2";45;"14";60437
1135;"Hellerhofstraße";"";"";"";"";"";"1 ";"Gallus";"161";"1.06";" 1";"A3";7;"4";60327
1136;"Helmholtzstraße";"";"";"";"";"";"4 ";"Ostend";"252";"4.25";" 4";"A1";16;"5";60385
1138;"Hennegasse";"";"";"";"";"";"8 ";"Niederursel";"481";"8.63";" 8";"A2";43;"14";60439
1139;"Henriette-Fürth-Straße";"";"";"";"";"";"6 ";"Schwanheim";"532";"6.37";"6A";"A6";51;"10";60529
1140;"Henry-Budge-Straße";"";"";"";"";"";"2 ";"Westend-Nord";"192";"2.09";" 2";"B3";4;"12";60320
1141;"Henschelstraße";"gerade";"";"";"";"";"4 ";"Ostend";"252";"4.25";" 4";"A1";16;"5";60314
1141;"Henschelstraße";"ungerade";"";"";"";"";"4 ";"Ostend";"251";"4.25";" 4";"A1";16;"5";60314
1142;"Henselstraße";"";"";"";"";"";"5 ";"Niederrad";"372";"5.36";"5B";"A6";28;"10";60528
1143;"Herbartstraße";"";"";"";"";"";"3 ";"Nordend-Ost";"230";"3.20";" 3";"A1";14;"3";60316
1144;"Herbert-Boehm-Straße";"";"";"";"";"";"5 ";"Niederrad";"372";"5.36";"5B";"A6";28;"10";60528
1145;"Herbert-von-Meister-Straße";"";"";"";"";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
1146;"Herbesthaler Straße";"";"";"";"";"";"6 ";"Höchst";"570";"6.44";"6C";"A7";54;"17";65929
1147;"Herborner Straße";"";"";"";"";"";"8 ";"Heddernheim";"431";"8.61";" 8";"A2";37;"14";60439
1148;"Herderstraße";"gerade";"2";"";"14";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";14;"3";60316
1148;"Herderstraße";"gerade";"22";"";"38";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";5;"3";60316
1148;"Herderstraße";"ungerade";"21";"";"39";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";5;"3";60316
1148;"Herderstraße";"ungerade";"3";"";"19";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";14;"3";60316
1149;"Hermann-Brill-Straße";"";"";"";"";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
1150;"Hermann-Küster-Straße";"";"";"";"";"";"6 ";"Sindlingen";"602";"6.48";"6B";"A7";55;"17";65931
1151;"Hermannstraße";"gerade";"";"";"";"";"3 ";"Nordend-West";"201";"3.21";" 3";"B3";11;"3";60318
1151;"Hermannstraße";"ungerade";"";"";"";"";"3 ";"Nordend-West";"120";"3.21";" 3";"A1";5;"3";60318
1152;"Hermann-Waibel-Allee";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
1153;"Hermann-Wendel-Straße";"";"";"";"";"";"2 ";"Bockenheim";"341";"2.13";" 2";"A4";25;"13";60486
1154;"Hermesweg";"";"";"";"";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";14;"3";60316
1155;"Herriotstraße";"";"";"";"";"";"5 ";"Niederrad";"373";"5.36";"5B";"A6";29;"10";60528
1156;"Herrnstraße";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
1157;"Hersfelder Straße";"";"";"";"";"";"2 ";"Bockenheim";"350";"2.13";" 2";"A4";25;"13";60487
1158;"Herweghstraße";"";"";"";"";"";"9 ";"Eschersheim";"452";"9.66";" 9";"B3";39;"12";60431
1159;"Herxheimerstraße";"";"";"";"";"";"1 ";"Gallus";"154";"1.05";" 1";"A3";8;"16";60326
1160;"Herzbergstraße";"";"";"";"";"";"8 ";"Niederursel";"481";"8.63";" 8";"A2";43;"14";60439
1161;"Herzogstraße";"";"";"";"";"";"5 ";"Niederrad";"372";"5.36";"5B";"A6";28;"10";60528
1162;"Hesselbergweg";"";"";"";"";"";"6 ";"Zeilsheim";"604";"6.49";"6B";"A7";56;"17";65931
1163;"Hessenplatz";"";"";"";"";"";"2 ";"Bockenheim";"361";"2.12";" 2";"A4";27;"13";60487
1164;"Hessestraße";"";"";"";"";"";"8 ";"Heddernheim";"431";"8.61";" 8";"A2";37;"14";60439
1165;"Heugasse";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
1166;"Heusingerstraße";"";"";"";"";"";"6 ";"Nied";"562";"6.43";"6A";"A7";53;"16";65934
1167;"Heussenstammstraße";"";"";"";"";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60433
1168;"Heylstraße";"";"";"";"";"";"9 ";"Eschersheim";"452";"9.66";" 9";"B3";39;"12";60431
1169;"Hildburghäuser Weg";"";"";"";"";"";"6 ";"Zeilsheim";"611";"6.49";"6B";"A7";56;"17";65931
1170;"Hilligengasse";"";"";"";"";"";"6 ";"Höchst";"591";"6.46";"6C";"A7";54;"17";65929
1171;"Hinter den Eichbäumen";"";"";"";"";"";"9 ";"Eschersheim";"451";"9.65";" 9";"B3";39;"12";60433
1172;"Hinter den Ulmen";"";"";"";"";"";"9 ";"Eschersheim";"452";"9.66";" 9";"B3";39;"12";60433
1173;"Hinter der Schönen Aussicht";"";"";"";"";"";"1 ";"Innenstadt";"080";"1.01";" 1";"A1";1;"1";60311
1174;"Hintergasse";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
1175;"Hinterm Bachberg";"";"";"";"";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"12";60435
1176;"Hirschhornstraße";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
1177;"Hirtenstraße";"";"";"";"";"";"1 ";"Gutleutviertel";"151";"1.04";" 1";"A3";2;"4";60327
1179;"Hirzenhainer Straße";"";"";"";"";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
1180;"Hochmuhl";"";"";"";"";"";"6 ";"Höchst";"591";"6.46";"6C";"A7";54;"17";65929
1181;"Hochschildstraße";"";"";"";"";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"12";60435
1182;"Hochstädter Straße";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
1183;"Hochstraße";"";"";"";"";"";"1 ";"Innenstadt";"050";"1.02";" 1";"A1";1;"1";60313
1184;"Höchster Bahnstraße";"";"";"";"";"";"6 ";"Höchst";"570";"6.44";"6C";"A7";54;"17";65929
1185;"Hoechster-Farben-Straße";"";"";"";"";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
1186;"Höchster Markt";"";"";"";"";"";"6 ";"Höchst";"591";"6.46";"6C";"A7";54;"17";65929
1187;"Höchster Schloßplatz";"";"";"";"";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65929
1188;"Höchster Stadtpark";"";"";"";"";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65929
1188;"Höchster Stadtpark";"";"";"";"";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65936
1188;"Höchster Stadtpark";"";"";"";"";"";"6 ";"Sossenheim";"631";"6.53";"6C";"A7";58;"17";65929
1188;"Höchster Stadtpark";"";"";"";"";"";"6 ";"Sossenheim";"631";"6.53";"6C";"A7";58;"17";65936
1189;"Höchster Weg";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
1190;"Höhenblick";"";"";"";"";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60431
1191;"Höhenstraße";"gerade";"";"";"";"";"4 ";"Bornheim";"240";"4.23";" 4";"A1";15;"3";60385
1191;"Höhenstraße";"ungerade";"";"";"";"";"3 ";"Nordend-Ost";"230";"3.20";" 3";"A1";14;"3";60385
1192;"Hölderlinstraße";"";"";"";"";"";"4 ";"Ostend";"140";"4.26";" 4";"A1";6;"5";60316
1193;"Höllbergstraße";"";"";"";"";"";"9 ";"Eschersheim";"452";"9.66";" 9";"B3";39;"12";60431
1195;"Hörselbergstraße";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
1196;"Hofeckweg";"";"";"";"";"";"9 ";"Dornbusch";"463";"9.69";" 9";"B3";41;"12";60320
1197;"Hoffeldstraße";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
1198;"Hofgartenweg";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
1200;"Hofhausstraße";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
1201;"Hofheimer Straße";"";"";"";"";"";"6 ";"Zeilsheim";"611";"6.49";"6B";"A7";56;"17";65931
1202;"Hofstraße";"";"";"";"";"";"1 ";"Innenstadt";"040";"1.03";" 1";"A1";1;"1";60311
1203;"Hohe Kanzel";"";"";"";"";"";"6 ";"Zeilsheim";"612";"6.50";"6B";"A7";56;"17";65931
1204;"Hohemarkstraße";"";"";"";"";"";"8 ";"Niederursel";"481";"8.63";" 8";"A2";43;"14";60439
1205;"Hohenstaufenstraße";"";"";"";"";"";"1 ";"Gallus";"161";"1.06";" 1";"A3";7;"13";60327
1206;"Hohensteiner Straße";"";"";"";"";"";"7 ";"Bockenheim";"343";"7.57";" 2";"A4";26;"11";60487
1207;"Hoherodskopfstraße";"gerade";"";"";"";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"12";60435
1207;"Hoherodskopfstraße";"ungerade";"3";"";"35";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
1207;"Hoherodskopfstraße";"ungerade";"37";"";"53";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"12";60435
1208;"Otto-Hahn-Platz";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"322";"5.33";"5A";"A6";21;"8";60596
1209;"Holbeinstraße";"gerade";"";"";"";"";"5 ";"Sachsenhausen-Nord";"322";"5.33";"5A";"A6";21;"8";60596
1209;"Holbeinstraße";"ungerade";"";"";"";"";"5 ";"Sachsenhausen-Nord";"321";"5.32";"5A";"A6";21;"8";60596
1210;"Hollerkopfstraße";"";"";"";"";"";"8 ";"Niederursel";"481";"8.63";" 8";"A2";43;"14";60439
1211;"Holunderweg";"";"";"";"";"";"10";"Frankfurter Berg";"492";"10.71";"10";"A2";46;"14";60433
1212;"Holzgraben";"gerade";"";"";"";"";"1 ";"Innenstadt";"060";"1.02";" 1";"A1";1;"1";60313
1212;"Holzgraben";"ungerade";"";"";"";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60313
1214;"Holzhausenstraße";"gerade";"4";"";"86";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60322
1214;"Holzhausenstraße";"gerade";"98";"";"";"";"2 ";"Westend-Nord";"191";"2.09";" 2";"B3";4;"3";60322
1214;"Holzhausenstraße";"ungerade";"3";"";"79";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60322
1214;"Holzhausenstraße";"ungerade";"81";"";"89";"";"2 ";"Westend-Nord";"191";"2.09";" 2";"B3";4;"3";60322
1215;"Holzhecke";"";"";"";"";"";"5 ";"Niederrad";"371";"5.35";"5B";"A6";28;"10";60528
1216;"Holzlachstraße";"gerade";"2";"";"18";"";"6 ";"Nied";"561";"6.42";"6A";"A7";53;"17";65934
1216;"Holzlachstraße";"gerade";"20";"";"22";"";"6 ";"Nied";"562";"6.43";"6A";"A7";53;"17";65934
1216;"Holzlachstraße";"ungerade";"1";"";"29";"";"6 ";"Nied";"561";"6.42";"6A";"A7";53;"17";65934
1216;"Holzlachstraße";"ungerade";"31";"";"";"";"6 ";"Nied";"562";"6.43";"6A";"A7";53;"17";65934
1216;"Holzlachstraße";"ungerade";"51";"";"63";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65934
1218;"Homburger Hohl";"";"";"";"";"";"10";"Bonames";"491";"10.70";"10";"A2";45;"14";60437
1219;"Homburger Landstraße";"gerade";"262";"";"286";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"14";60433
1219;"Homburger Landstraße";"gerade";"340";"";"448";"";"10";"Frankfurter Berg";"492";"10.71";"10";"A2";46;"14";60433
1219;"Homburger Landstraße";"gerade";"4";"";"";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"12";60389
1219;"Homburger Landstraße";"gerade";"40";"";"240";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"12";60435
1219;"Homburger Landstraße";"gerade";"602";"";"694";"";"10";"Bonames";"491";"10.70";"10";"A2";45;"14";60437
1219;"Homburger Landstraße";"gerade";"696";"";"846";"";"15";"Nieder-Eschbach";"670";"15.82";"15";"A2";63;"14";60437
1219;"Homburger Landstraße";"ungerade";"1";"";"7";"";"3 ";"Nordend-West";"213";"3.17";" 3";"A1";12;"12";60389
1219;"Homburger Landstraße";"ungerade";"159";"";"247";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"12";60435
1219;"Homburger Landstraße";"ungerade";"279";"";"375";"";"10";"Preungesheim";"470";"10.73";"10";"B3";42;"14";60433
1219;"Homburger Landstraße";"ungerade";"377";"";"479";"";"10";"Frankfurter Berg";"492";"10.71";"10";"A2";46;"14";60433
1219;"Homburger Landstraße";"ungerade";"43";"";"157";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
1219;"Homburger Landstraße";"ungerade";"623";"";"725";"";"10";"Bonames";"491";"10.70";"10";"A2";45;"14";60437
1219;"Homburger Landstraße";"ungerade";"729";"";"955";"I";"15";"Nieder-Eschbach";"670";"15.82";"15";"A2";63;"14";60437
1220;"Homburger Straße";"";"";"";"";"";"2 ";"Bockenheim";"341";"2.13";" 2";"A4";25;"13";60486
1221;"Homolkaweg";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
1222;"Honsellbrücke";"";"";"";"";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60314
1223;"Honsellstraße";"";"";"";"";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60314
1224;"Horles";"";"";"";"";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
1225;"Hornauer Straße";"";"";"";"";"";"1 ";"Gallus";"165";"1.08";" 1";"A3";8;"4";60326
1226;"Hospitalstraße";"";"";"";"";"";"6 ";"Höchst";"570";"6.44";"6C";"A7";54;"17";65929
1227;"Hostatostraße";"";"";"";"";"";"6 ";"Höchst";"591";"6.46";"6C";"A7";54;"17";65929
1228;"Howaldtstraße";"";"";"";"";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60314
1229;"Hügelstraße";"gerade";"124";"";"124";"A";"9 ";"Eschersheim";"452";"9.66";" 9";"B3";39;"12";60433
1229;"Hügelstraße";"gerade";"128";"";"170";"";"9 ";"Dornbusch";"442";"9.68";" 9";"B3";38;"12";60431
1229;"Hügelstraße";"gerade";"172";"";"222";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60431
1229;"Hügelstraße";"gerade";"2";"";"30";"Z";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
1229;"Hügelstraße";"gerade";"50";"";"104";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60433
1229;"Hügelstraße";"ungerade";"1";"";"21";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
1229;"Hügelstraße";"ungerade";"115";"";"179";"";"9 ";"Dornbusch";"442";"9.68";" 9";"B3";38;"12";60431
1229;"Hügelstraße";"ungerade";"181";"";"257";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60431
1229;"Hügelstraße";"ungerade";"67";"";"113";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60433
1230;"Hühnerweg";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"332";"5.29";"5A";"A6";24;"8";60599
1231;"Hünfelder Straße";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
1232;"Hufnagelstraße";"";"";"";"";"";"1 ";"Gallus";"162";"1.07";" 1";"A3";9;"4";60326
1233;"Hugo-Junkers-Straße";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
1234;"Hugo-Kallenbach-Straße";"";"";"";"";"";"6 ";"Sindlingen";"602";"6.48";"6B";"A7";55;"17";65931
1235;"Hugo-Sinzheimer-Straße";"";"";"";"";"";"10";"Bonames";"491";"10.70";"10";"A2";45;"14";60437
1236;"Hugo-Wolf-Straße";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
1237;"Humboldtstraße";"gerade";"2";"";"22";"";"3 ";"Nordend-West";"120";"3.21";" 3";"A1";5;"3";60318
1237;"Humboldtstraße";"gerade";"28";"";"50";"";"3 ";"Nordend-West";"201";"3.21";" 3";"B3";11;"3";60318
1237;"Humboldtstraße";"gerade";"56";"";"94";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60318
1237;"Humboldtstraße";"ungerade";"1";"";"23";"";"3 ";"Nordend-West";"120";"3.21";" 3";"A1";5;"3";60318
1237;"Humboldtstraße";"ungerade";"25";"";"39";"";"3 ";"Nordend-West";"201";"3.21";" 3";"B3";11;"3";60318
1237;"Humboldtstraße";"ungerade";"45";"";"83";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60318
1238;"Humbrachtstraße";"";"";"";"";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60322
1239;"Humperdinckstraße";"";"";"";"";"";"5 ";"Sachsenhausen-Süd";"325";"5.34";"5A";"A6";23;"10";60598
1240;"Humserstraße";"";"";"";"";"";"3 ";"Nordend-West";"202";"3.16";" 3";"B3";11;"12";60320
1241;"Hungener Straße";"";"";"";"";"";"3 ";"Nordend-Ost";"222";"3.18";" 3";"A1";13;"6";60389
1242;"Hunsrückstraße";"gerade";"100";"";"";"";"6 ";"Unterliederbach";"623";"6.51";"6C";"A7";57;"17";65929
1242;"Hunsrückstraße";"gerade";"6";"";"56";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
1242;"Hunsrückstraße";"ungerade";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
1243;"Huthmacherstraße";"";"";"";"";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
1244;"Huthpark";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
1246;"Hynspergstraße";"";"";"";"";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60322
1247;"Ibellstraße";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
1248;"Idarwaldstraße";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
1249;"Idsteiner Straße";"gerade";"16";"";"70";"C";"1 ";"Gallus";"162";"1.07";" 1";"A3";9;"4";60326
1249;"Idsteiner Straße";"gerade";"72";"";"196";"";"1 ";"Gallus";"165";"1.08";" 1";"A3";8;"4";60326
1249;"Idsteiner Straße";"ungerade";"1";"";"91";"";"1 ";"Gallus";"162";"1.07";" 1";"A3";9;"4";60326
1249;"Idsteiner Straße";"ungerade";"123";"";"155";"";"1 ";"Gallus";"165";"1.08";" 1";"A3";8;"4";60326
1250;"Ilbenstädter Straße";"";"";"";"";"";"4 ";"Bornheim";"272";"4.22";" 4";"A1";18;"6";60385
1251;"Ilkenhansstraße";"";"";"";"";"";"9 ";"Eschersheim";"452";"9.66";" 9";"B3";39;"12";60433
1253;"Iltispfad";"";"";"";"";"";"6 ";"Griesheim";"552";"6.41";"6A";"A3";52;"16";65933
1254;"Im Bärengarten";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"331";"5.31";"5A";"A6";20;"8";60599
1255;"Im Bruch";"";"";"";"";"";"6 ";"Griesheim";"542";"6.40";"6A";"A3";52;"16";65933
1256;"Im Burgfeld";"";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
1257;"Im Eichlehen";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
1258;"Im Eichwäldchen";"";"";"";"";"";"7 ";"Hausen";"410";"7.58";" 7";"A4";26;"11";60488
1260;"Im Füldchen";"";"";"";"";"";"7 ";"Rödelheim";"401";"7.55";" 7";"A4";32;"11";60489
1261;"Im Grund";"";"";"";"";"";"6 ";"Nied";"561";"6.42";"6A";"A7";53;"16";65934
1262;"Im Heidenfeld";"";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
1263;"Im Heimgarten";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
1264;"Im Hirschländchen";"";"";"";"";"";"6 ";"Schwanheim";"532";"6.37";"6A";"A6";51;"10";60529
1265;"Im Kammerdorf";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
1266;"Imkerweg";"";"";"";"";"";"6 ";"Sindlingen";"601";"6.47";"6B";"A7";55;"17";65931
1267;"Im Klingenfeld";"";"";"";"";"";"10";"Berkersheim";"500";"10.74";"10";"A2";47;"14";60435
1268;"Im Mellsig";"";"";"";"";"";"9 ";"Eschersheim";"451";"9.65";" 9";"B3";39;"12";60433
1269;"Immermannstraße";"";"";"";"";"";"9 ";"Dornbusch";"442";"9.68";" 9";"B3";38;"12";60431
1270;"Im Mittleren Sand";"";"";"";"";"";"6 ";"Sossenheim";"631";"6.53";"6C";"A7";58;"17";65936
1272;"Im Prüfling";"";"";"";"";"";"4 ";"Bornheim";"271";"4.23";" 4";"A1";15;"6";60389
1274;"Im Sachsenlager";"";"";"";"";"";"2 ";"Westend-Süd";"110";"2.10";" 2";"A4";4;"3";60322
1275;"Im Sechholder";"";"";"";"";"";"6 ";"Nied";"562";"6.43";"6A";"A7";53;"16";65934
1276;"Georg-Treser-Straße";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
1277;"Im Staffel";"";"";"";"";"";"11";"Seckbach";"390";"11.75";"11";"A1";31;"6";60389
1278;"Im Steinbügel";"";"";"";"";"";"10";"Berkersheim";"500";"10.74";"10";"A2";47;"14";60435
1279;"Im Teller";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
1280;"Im Tiefen Weg";"";"";"";"";"";"6 ";"Sossenheim";"631";"6.53";"6C";"A7";58;"17";65936
1281;"Im Trierischen Hof";"";"";"";"";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60311
1282;"Im Trutz Frankfurt";"gerade";"";"";"";"";"2 ";"Westend-Süd";"110";"2.10";" 2";"A4";4;"3";60322
1282;"Im Trutz Frankfurt";"ungerade";"11";"";"51";"";"2 ";"Westend-Süd";"110";"2.10";" 2";"A4";4;"3";60322
1282;"Im Trutz Frankfurt";"ungerade";"55";"";"";"";"2 ";"Westend-Nord";"191";"2.09";" 2";"B3";4;"3";60322
1283;"Im Uhrig";"";"";"";"";"";"9 ";"Eschersheim";"451";"9.65";" 9";"B3";39;"12";60433
1284;"Im Vogelsgesang";"";"";"";"";"";"7 ";"Hausen";"410";"7.58";" 7";"A4";26;"11";60488
1285;"Im Weimel";"gerade";"";"";"";"";"8 ";"Heddernheim";"432";"8.62";" 8";"A2";36;"14";60439
1285;"Im Weimel";"ungerade";"";"";"";"";"8 ";"Praunheim";"426";"8.62";" 7";"A2";36;"14";60439
1286;"Im Wiesengarten";"";"";"";"";"";"10";"Berkersheim";"500";"10.74";"10";"A2";47;"14";60435
1287;"Im Wörth";"";"";"";"";"";"9 ";"Eschersheim";"451";"9.65";" 9";"B3";39;"12";60433
1288;"Im Ziegelfeld";"";"";"";"";"";"6 ";"Nied";"561";"6.42";"6A";"A7";53;"17";65934
1289;"Inckusstraße";"";"";"";"";"";"9 ";"Dornbusch";"463";"9.69";" 9";"B3";41;"12";60320
1290;"In den Grummetwiesen";"";"";"";"";"";"7 ";"Praunheim";"424";"7.60";" 7";"A4";35;"14";60488
