Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsamtsbezirk;Sozialrathausbezirk;Sozialbezirk;Polizeirevier;Postleitzahl
321;"Bachmannstraße";"";"";"";"";"";"7 ";"Hausen";"410";"7.58";" 7";"A4";26;"11";60488
322;"Bachstelzenweg";"";"";"";"";"";"6 ";"Unterliederbach";"621";"6.51";"6C";"A7";57;"17";65929
323;"Bachwiesenstraße";"";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
325;"Badstubengasse";"";"";"";"";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65929
326;"Bäckergasse";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"300";"5.31";"5A";"A6";20;"8";60594
327;"Bäckerweg";"";"";"";"";"";"3 ";"Nordend-Ost";"130";"3.20";" 3";"A1";5;"3";60316
328;"Bärenstraße";"gerade";"12";"";"14";"";"4 ";"Ostend";"251";"4.25";" 4";"A1";16;"5";60316
328;"Bärenstraße";"gerade";"2";"";"4";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60316
328;"Bärenstraße";"ungerade";"1";"";"5";"";"4 ";"Ostend";"261";"4.27";" 4";"A1";6;"5";60316
328;"Bärenstraße";"ungerade";"13";"";"";"";"4 ";"Ostend";"251";"4.25";" 4";"A1";16;"5";60316
329;"Baeyerstraße";"";"";"";"";"";"6 ";"Griesheim";"551";"6.39";"6A";"A3";52;"16";65933
373;"Balduinstraße";"gerade";"62";"";"";"";"5 ";"Sachsenhausen-Süd";"332";"5.29";"5A";"A6";24;"8";60599
373;"Balduinstraße";"gerade";"64";"";"116";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
373;"Balduinstraße";"ungerade";"";"";"";"";"5 ";"Oberrad";"380";"5.28";"5A";"A6";30;"8";60599
374;"Barchfeldstraße";"";"";"";"";"";"10";"Eckenheim";"461";"10.72";"10";"B3";40;"12";60435
375;"Barckhausstraße";"gerade";"18";"";"";"";"2 ";"Westend-Süd";"100";"2.11";" 2";"A4";3;"3";60325
375;"Barckhausstraße";"gerade";"2";"";"16";"";"2 ";"Westend-Süd";"100";"2.11";" 2";"A4";3;"13";60325
375;"Barckhausstraße";"ungerade";"";"";"";"";"2 ";"Westend-Süd";"100";"2.11";" 2";"A4";3;"13";60325
376;"Bartholomäusgasse";"";"";"";"";"";"6 ";"Zeilsheim";"611";"6.49";"6B";"A7";56;"17";65931
377;"Basaltstraße";"";"";"";"";"";"2 ";"Bockenheim";"361";"2.12";" 2";"A4";27;"13";60487
378;"Baseler Platz";"";"";"";"";"";"1 ";"Gutleutviertel";"151";"1.04";" 1";"A3";2;"4";60329
379;"Baseler Straße";"";"";"";"";"";"1 ";"Gutleutviertel";"151";"1.04";" 1";"A3";2;"4";60329
380;"Battenberger Weg";"";"";"";"";"";"7 ";"Rödelheim";"402";"7.56";" 7";"A4";33;"11";60489
381;"Batterie";"";"";"";"";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65929
382;"Battonnstraße";"gerade";"2";"";"40";"";"1 ";"Innenstadt";"080";"1.01";" 1";"A1";1;"1";60311
382;"Battonnstraße";"gerade";"50";"";"66";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60311
382;"Battonnstraße";"ungerade";"5";"";"47";"";"1 ";"Innenstadt";"080";"1.01";" 1";"A1";1;"1";60311
382;"Battonnstraße";"ungerade";"57";"";"65";"";"1 ";"Altstadt";"010";"1.01";" 1";"A1";1;"1";60311
383;"Bauhofstraße";"";"";"";"";"";"6 ";"Höchst";"580";"6.45";"6C";"A7";54;"17";65929
384;"Baumertstraße";"gerade";"2";"";"32";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
384;"Baumertstraße";"gerade";"38";"";"88";"";"11";"Fechenheim";"520";"11.78";"11";"A1";49;"18";60386
